,date,corridor_length,temp_treatment,patch,replicate,blepharisma,colpidium,didinium,homalozoon,paramecium,spirostomum,bursaria,day
Constant_Short_1a0,22/11/2021,Short,Constant,A,1,400,400,40,40,400,400,40,0
Constant_Short_1b0,22/11/2021,Short,Constant,B,1,400,400,40,40,400,400,40,0
Constant_Short_2a0,22/11/2021,Short,Constant,A,2,400,400,40,40,400,400,40,0
Constant_Short_2b0,22/11/2021,Short,Constant,B,2,400,400,40,40,400,400,40,0
Constant_Short_3a0,22/11/2021,Short,Constant,A,3,400,400,40,40,400,400,40,0
Constant_Short_3b0,22/11/2021,Short,Constant,B,3,400,400,40,40,400,400,40,0
Constant_Short_4a0,22/11/2021,Short,Constant,A,4,400,400,40,40,400,400,40,0
Constant_Short_4b0,22/11/2021,Short,Constant,B,4,400,400,40,40,400,400,40,0
Constant_Short_5a0,22/11/2021,Short,Constant,A,5,400,400,40,40,400,400,40,0
Constant_Short_5b0,22/11/2021,Short,Constant,B,5,400,400,40,40,400,400,40,0
Constant_Long_1a00,22/11/2021,Long,Constant,A,1,400,400,40,40,400,400,40,0
Constant_Long_1b0,22/11/2021,Long,Constant,B,1,400,400,40,40,400,400,40,0
Constant_Long_2a0,22/11/2021,Long,Constant,A,2,400,400,40,40,400,400,40,0
Constant_Long_2b0,22/11/2021,Long,Constant,B,2,400,400,40,40,400,400,40,0
Constant_Long_3a0,22/11/2021,Long,Constant,A,3,400,400,40,40,400,400,40,0
Constant_Long_3b0,22/11/2021,Long,Constant,B,3,400,400,40,40,400,400,40,0
Constant_Long_4a0,22/11/2021,Long,Constant,A,4,400,400,40,40,400,400,40,0
Constant_Long_4b0,22/11/2021,Long,Constant,B,4,400,400,40,40,400,400,40,0
Constant_Long_5a0,22/11/2021,Long,Constant,A,5,400,400,40,40,400,400,40,0
Constant_Long_5b0,22/11/2021,Long,Constant,B,5,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_1a00,22/11/2021,Short,Fluctuating_Asynchro,A,1,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_1b0,22/11/2021,Short,Fluctuating_Asynchro,B,1,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_2a0,22/11/2021,Short,Fluctuating_Asynchro,A,2,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_2b0,22/11/2021,Short,Fluctuating_Asynchro,B,2,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_3a0,22/11/2021,Short,Fluctuating_Asynchro,A,3,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_3b0,22/11/2021,Short,Fluctuating_Asynchro,B,3,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_4a0,22/11/2021,Short,Fluctuating_Asynchro,A,4,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_4b0,22/11/2021,Short,Fluctuating_Asynchro,B,4,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_5a0,22/11/2021,Short,Fluctuating_Asynchro,A,5,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Short_5b0,22/11/2021,Short,Fluctuating_Asynchro,B,5,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_1a0,22/11/2021,Long,Fluctuating_Asynchro,A,1,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_1b0,22/11/2021,Long,Fluctuating_Asynchro,B,1,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_2a0,22/11/2021,Long,Fluctuating_Asynchro,A,2,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_2b0,22/11/2021,Long,Fluctuating_Asynchro,B,2,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_3a0,22/11/2021,Long,Fluctuating_Asynchro,A,3,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_3b0,22/11/2021,Long,Fluctuating_Asynchro,B,3,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_4a0,22/11/2021,Long,Fluctuating_Asynchro,A,4,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_4b0,22/11/2021,Long,Fluctuating_Asynchro,B,4,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_5a0,22/11/2021,Long,Fluctuating_Asynchro,A,5,400,400,40,40,400,400,40,0
Fluctuating_Asynchronous_Long_5b0,22/11/2021,Long,Fluctuating_Asynchro,B,5,400,400,40,40,400,400,40,0
Static_Diff_Short_1a0,22/11/2021,Short,Static_Diff,A,1,400,400,40,40,400,400,40,0
Static_Diff_Short_1b0,22/11/2021,Short,Static_Diff,B,1,400,400,40,40,400,400,40,0
Static_Diff_Short_2a0,22/11/2021,Short,Static_Diff,A,2,400,400,40,40,400,400,40,0
Static_Diff_Short_2b0,22/11/2021,Short,Static_Diff,B,2,400,400,40,40,400,400,40,0
Static_Diff_Short_3a0,22/11/2021,Short,Static_Diff,A,3,400,400,40,40,400,400,40,0
Static_Diff_Short_3b0,22/11/2021,Short,Static_Diff,B,3,400,400,40,40,400,400,40,0
Static_Diff_Short_4a0,22/11/2021,Short,Static_Diff,A,4,400,400,40,40,400,400,40,0
Static_Diff_Short_4b0,22/11/2021,Short,Static_Diff,B,4,400,400,40,40,400,400,40,0
Static_Diff_Short_5a0,22/11/2021,Short,Static_Diff,A,5,400,400,40,40,400,400,40,0
Static_Diff_Short_5b0,22/11/2021,Short,Static_Diff,B,5,400,400,40,40,400,400,40,0
Static_Diff_Long_1a0,22/11/2021,Long,Static_Diff,A,1,400,400,40,40,400,400,40,0
Static_Diff_Long_1b0,22/11/2021,Long,Static_Diff,B,1,400,400,40,40,400,400,40,0
Static_Diff_Long_2a0,22/11/2021,Long,Static_Diff,A,2,400,400,40,40,400,400,40,0
Static_Diff_Long_2b0,22/11/2021,Long,Static_Diff,B,2,400,400,40,40,400,400,40,0
Static_Diff_Long_3a0,22/11/2021,Long,Static_Diff,A,3,400,400,40,40,400,400,40,0
Static_Diff_Long_3b0,22/11/2021,Long,Static_Diff,B,3,400,400,40,40,400,400,40,0
Static_Diff_Long_5a0,22/11/2021,Long,Static_Diff,A,5,400,400,40,40,400,400,40,0
Static_Diff_Long_5b0,22/11/2021,Long,Static_Diff,B,5,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_1a0,22/11/2021,Short,Fluctuating_Synchro,A,1,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_1b0,22/11/2021,Short,Fluctuating_Synchro,B,1,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_2a0,22/11/2021,Short,Fluctuating_Synchro,A,2,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_2b0,22/11/2021,Short,Fluctuating_Synchro,B,2,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_3a0,22/11/2021,Short,Fluctuating_Synchro,A,3,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_3b0,22/11/2021,Short,Fluctuating_Synchro,B,3,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_4a0,22/11/2021,Short,Fluctuating_Synchro,A,4,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_4b0,22/11/2021,Short,Fluctuating_Synchro,B,4,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_5a0,22/11/2021,Short,Fluctuating_Synchro,A,5,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Short_5b0,22/11/2021,Short,Fluctuating_Synchro,B,5,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_1a0,22/11/2021,Long,Fluctuating_Synchro,A,1,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_1b0,22/11/2021,Long,Fluctuating_Synchro,B,1,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_2a0,22/11/2021,Long,Fluctuating_Synchro,A,2,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_2b0,22/11/2021,Long,Fluctuating_Synchro,B,2,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_3a0,22/11/2021,Long,Fluctuating_Synchro,A,3,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_3b0,22/11/2021,Long,Fluctuating_Synchro,B,3,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_4a0,22/11/2021,Long,Fluctuating_Synchro,A,4,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_4b0,22/11/2021,Long,Fluctuating_Synchro,B,4,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_5a0,22/11/2021,Long,Fluctuating_Synchro,A,5,400,400,40,40,400,400,40,0
Fluctuating_Synchronous_Long_5b0,22/11/2021,Long,Fluctuating_Synchro,B,5,400,400,40,40,400,400,40,0
Constant_Short_1a3,25/11/2021,Short,Constant,A,1,2,0,0,3,240,100,19,3
Constant_Short_1b3,25/11/2021,Short,Constant,B,1,0,0,0,0,220,120,5,3
Constant_Short_2a3,25/11/2021,Short,Constant,A,2,1,0,0,0,340,80,8,3
Constant_Short_2b3,25/11/2021,Short,Constant,B,2,1,0,0,1,210,70,15,3
Constant_Short_3a3,25/11/2021,Short,Constant,A,3,1,0,0,2,130,80,11,3
Constant_Short_3b3,25/11/2021,Short,Constant,B,3,0,0,0,0,170,140,11,3
Constant_Short_4a3,25/11/2021,Short,Constant,A,4,1,0,0,1,90,50,4,3
Constant_Short_4b3,25/11/2021,Short,Constant,B,4,0,0,0,0,150,60,10,3
Constant_Short_5a3,25/11/2021,Short,Constant,A,5,0,0,0,0,32,8,10,3
Constant_Short_5b3,25/11/2021,Short,Constant,B,5,0,0,0,1,240,80,70,3
Constant_Long_1a30,25/11/2021,Long,Constant,A,1,0,0,0,1,110,280,11,3
Constant_Long_1b3,25/11/2021,Long,Constant,B,1,0,0,0,0,120,90,10,3
Constant_Long_2a3,25/11/2021,Long,Constant,A,2,0,0,0,0,140,80,15,3
Constant_Long_2b3,25/11/2021,Long,Constant,B,2,0,0,0,0,90,50,12,3
Constant_Long_3a3,25/11/2021,Long,Constant,A,3,0,0,0,0,210,170,12,3
Constant_Long_3b3,25/11/2021,Long,Constant,B,3,0,0,0,0,470,100,10,3
Constant_Long_4a3,25/11/2021,Long,Constant,A,4,0,0,0,1,420,120,10,3
Constant_Long_4b3,25/11/2021,Long,Constant,B,4,0,0,0,1,250,70,16,3
Constant_Long_5a3,25/11/2021,Long,Constant,A,5,0,0,0,0,190,160,11,3
Constant_Long_5b3,25/11/2021,Long,Constant,B,5,0,0,0,0,210,60,10,3
Fluctuating_Asynchronous_Short_1a30,25/11/2021,Short,Fluctuating_Asynchro,A,1,1,0,1,0,500,60,10,3
Fluctuating_Asynchronous_Short_1b3,25/11/2021,Short,Fluctuating_Asynchro,B,1,1,0,0,2,800,90,4,3
Fluctuating_Asynchronous_Short_2a3,25/11/2021,Short,Fluctuating_Asynchro,A,2,1,0,6,3,320,70,5,3
Fluctuating_Asynchronous_Short_2b3,25/11/2021,Short,Fluctuating_Asynchro,B,2,0,0,15,1,400,90,5,3
Fluctuating_Asynchronous_Short_3a3,25/11/2021,Short,Fluctuating_Asynchro,A,3,3,0,0,3,840,130,1,3
Fluctuating_Asynchronous_Short_3b3,25/11/2021,Short,Fluctuating_Asynchro,B,3,2,0,0,0,980,80,8,3
Fluctuating_Asynchronous_Short_4a3,25/11/2021,Short,Fluctuating_Asynchro,A,4,3,0,4,0,700,90,7,3
Fluctuating_Asynchronous_Short_4b3,25/11/2021,Short,Fluctuating_Asynchro,B,4,1,0,1,2,600,170,7,3
Fluctuating_Asynchronous_Short_5a3,25/11/2021,Short,Fluctuating_Asynchro,A,5,6,0,1,4,210,50,5,3
Fluctuating_Asynchronous_Short_5b3,25/11/2021,Short,Fluctuating_Asynchro,B,5,1,2,1,3,150,15,2,3
Fluctuating_Asynchronous_Long_1a3,25/11/2021,Long,Fluctuating_Asynchro,A,1,30,5,0,6,290,70,3,3
Fluctuating_Asynchronous_Long_1b3,25/11/2021,Long,Fluctuating_Asynchro,B,1,4,0,0,3,220,17,7,3
Fluctuating_Asynchronous_Long_2a3,25/11/2021,Long,Fluctuating_Asynchro,A,2,0,5,0,6,500,15,3,3
Fluctuating_Asynchronous_Long_2b3,25/11/2021,Long,Fluctuating_Asynchro,B,2,0,0,0,0,800,7,2,3
Fluctuating_Asynchronous_Long_3a3,25/11/2021,Long,Fluctuating_Asynchro,A,3,50,0,0,6,520,120,13,3
Fluctuating_Asynchronous_Long_3b3,25/11/2021,Long,Fluctuating_Asynchro,B,3,1,2,0,0,230,80,8,3
Fluctuating_Asynchronous_Long_4a3,25/11/2021,Long,Fluctuating_Asynchro,A,4,0,4,0,3,480,80,2,3
Fluctuating_Asynchronous_Long_4b3,25/11/2021,Long,Fluctuating_Asynchro,B,4,2,0,0,3,110,60,1,3
Fluctuating_Asynchronous_Long_5a3,25/11/2021,Long,Fluctuating_Asynchro,A,5,0,50,0,1,600,90,2,3
Fluctuating_Asynchronous_Long_5b3,25/11/2021,Long,Fluctuating_Asynchro,B,5,0,0,0,1,200,50,4,3
Static_Diff_Short_1a3,25/11/2021,Short,Static_Diff,A,1,70,1,19,0,460,14,14,3
Static_Diff_Short_1b3,25/11/2021,Short,Static_Diff,B,1,110,1,60,2,190,100,10,3
Static_Diff_Short_2a3,25/11/2021,Short,Static_Diff,A,2,50,1,12,0,60,80,8,3
Static_Diff_Short_2b3,25/11/2021,Short,Static_Diff,B,2,80,60,17,0,150,110,6,3
Static_Diff_Short_3a3,25/11/2021,Short,Static_Diff,A,3,100,1,1,0,190,50,8,3
Static_Diff_Short_3b3,25/11/2021,Short,Static_Diff,B,3,430,8,0,5,120,26,10,3
Static_Diff_Short_4a3,25/11/2021,Short,Static_Diff,A,4,9,1,0,0,100,8,11,3
Static_Diff_Short_4b3,25/11/2021,Short,Static_Diff,B,4,190,9,0,13,400,50,6,3
Static_Diff_Short_5a3,25/11/2021,Short,Static_Diff,A,5,2,1,5,4,140,5,8,3
Static_Diff_Short_5b3,25/11/2021,Short,Static_Diff,B,5,100,120,13,50,350,130,0,3
Static_Diff_Long_1a3,25/11/2021,Long,Static_Diff,A,1,190,50,2,0,800,160,7,3
Static_Diff_Long_1b3,25/11/2021,Long,Static_Diff,B,1,90,0,1,2,800,12,5,3
Static_Diff_Long_2a3,25/11/2021,Long,Static_Diff,A,2,0,50,0,19,100,7,8,3
Static_Diff_Long_2b3,25/11/2021,Long,Static_Diff,B,2,0,150,0,2,50,6,9,3
Static_Diff_Long_3a3,25/11/2021,Long,Static_Diff,A,3,60,50,3,9,360,32,3,3
Static_Diff_Long_3b3,25/11/2021,Long,Static_Diff,B,3,9,9,3,1,500,100,7,3
Static_Diff_Long_5a3,25/11/2021,Long,Static_Diff,A,5,0,2,0,80,100,9,12,3
Static_Diff_Long_5b3,25/11/2021,Long,Static_Diff,B,5,1,0,0,10,110,5,11,3
Fluctuating_Synchronous_Short_1a3,25/11/2021,Short,Fluctuating_Synchro,A,1,6,0,2,2,400,50,4,3
Fluctuating_Synchronous_Short_1b3,25/11/2021,Short,Fluctuating_Synchro,B,1,2,0,0,0,280,60,14,3
Fluctuating_Synchronous_Short_2a3,25/11/2021,Short,Fluctuating_Synchro,A,2,0,0,0,6,150,50,5,3
Fluctuating_Synchronous_Short_2b3,25/11/2021,Short,Fluctuating_Synchro,B,2,0,0,0,1,210,15,19,3
Fluctuating_Synchronous_Short_3a3,25/11/2021,Short,Fluctuating_Synchro,A,3,0,1,0,3,290,5,6,3
Fluctuating_Synchronous_Short_3b3,25/11/2021,Short,Fluctuating_Synchro,B,3,2,1,0,2,300,80,4,3
Fluctuating_Synchronous_Short_4a3,25/11/2021,Short,Fluctuating_Synchro,A,4,4,1,0,6,170,25,3,3
Fluctuating_Synchronous_Short_4b3,25/11/2021,Short,Fluctuating_Synchro,B,4,8,0,0,2,300,14,5,3
Fluctuating_Synchronous_Short_5a3,25/11/2021,Short,Fluctuating_Synchro,A,5,50,0,0,5,500,100,0,3
Fluctuating_Synchronous_Short_5b3,25/11/2021,Short,Fluctuating_Synchro,B,5,60,1,0,12,280,90,4,3
Fluctuating_Synchronous_Long_1a3,25/11/2021,Long,Fluctuating_Synchro,A,1,0,2,0,0,150,70,6,3
Fluctuating_Synchronous_Long_1b3,25/11/2021,Long,Fluctuating_Synchro,B,1,0,0,0,0,250,60,6,3
Fluctuating_Synchronous_Long_2a3,25/11/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,600,190,11,3
Fluctuating_Synchronous_Long_2b3,25/11/2021,Long,Fluctuating_Synchro,B,2,0,0,0,2,50,7,9,3
Fluctuating_Synchronous_Long_3a3,25/11/2021,Long,Fluctuating_Synchro,A,3,1,1,0,2,210,100,15,3
Fluctuating_Synchronous_Long_3b3,25/11/2021,Long,Fluctuating_Synchro,B,3,0,0,0,1,450,70,6,3
Fluctuating_Synchronous_Long_4a3,25/11/2021,Long,Fluctuating_Synchro,A,4,1,0,0,1,60,90,6,3
Fluctuating_Synchronous_Long_4b3,25/11/2021,Long,Fluctuating_Synchro,B,4,1,0,0,1,60,90,6,3
Fluctuating_Synchronous_Long_5a3,25/11/2021,Long,Fluctuating_Synchro,A,5,1,0,0,0,310,150,9,3
Fluctuating_Synchronous_Long_5b3,25/11/2021,Long,Fluctuating_Synchro,B,5,2,0,0,2,220,60,4,3
Constant_Short_1a7,29/11/2021,Short,Constant,A,1,0,0,0,0,2480,200,5,7
Constant_Short_1b7,29/11/2021,Short,Constant,B,1,0,0,0,0,1320,130,5,7
Constant_Short_2a7,29/11/2021,Short,Constant,A,2,0,0,0,0,500,466.6666667,5,7
Constant_Short_2b7,29/11/2021,Short,Constant,B,2,0,0,0,0,1000,500,4,7
Constant_Short_3a7,29/11/2021,Short,Constant,A,3,0,0,0,0,1200,700,3,7
Constant_Short_3b7,29/11/2021,Short,Constant,B,3,0,0,0,0,1100,800,4,7
Constant_Short_4a7,29/11/2021,Short,Constant,A,4,0,0,0,0,1280,700,5,7
Constant_Short_4b7,29/11/2021,Short,Constant,B,4,0,0,0,0,860,280,6,7
Constant_Short_5a7,29/11/2021,Short,Constant,A,5,0,0,0,0,1800,110,4,7
Constant_Short_5b7,29/11/2021,Short,Constant,B,5,0,0,0,0,500,70,3,7
Constant_Long_1a70,29/11/2021,Long,Constant,A,1,0,0,0,0,1560,700,6,7
Constant_Long_1b7,29/11/2021,Long,Constant,B,1,0,0,0,0,410,170,3,7
Constant_Long_2a7,29/11/2021,Long,Constant,A,2,0,0,0,0,1200,500,2,7
Constant_Long_2b7,29/11/2021,Long,Constant,B,2,0,0,0,0,1300,800,5,7
Constant_Long_3a7,29/11/2021,Long,Constant,A,3,0,0,0,0,900,800,7,7
Constant_Long_3b7,29/11/2021,Long,Constant,B,3,0,0,0,0,800,250,2,7
Constant_Long_4a7,29/11/2021,Long,Constant,A,4,0,0,0,0,1840,150,8,7
Constant_Long_4b7,29/11/2021,Long,Constant,B,4,0,0,0,0,1560,190,5,7
Constant_Long_5a7,29/11/2021,Long,Constant,A,5,0,0,0,0,1600,1500,10,7
Constant_Long_5b7,29/11/2021,Long,Constant,B,5,0,0,0,0,1300,800,6,7
Fluctuating_Asynchronous_Short_1a70,29/11/2021,Short,Fluctuating_Asynchro,A,1,0,0,80,0,70,250,7,7
Fluctuating_Asynchronous_Short_1b7,29/11/2021,Short,Fluctuating_Asynchro,B,1,0,0,120,0,120,200,5,7
Fluctuating_Asynchronous_Short_2a7,29/11/2021,Short,Fluctuating_Asynchro,A,2,4,0,220,0,15,60,2,7
Fluctuating_Asynchronous_Short_2b7,29/11/2021,Short,Fluctuating_Asynchro,B,2,3,0,260,1,50,130,2,7
Fluctuating_Asynchronous_Short_3a7,29/11/2021,Short,Fluctuating_Asynchro,A,3,2,1,0,1,700,140,4,7
Fluctuating_Asynchronous_Short_3b7,29/11/2021,Short,Fluctuating_Asynchro,B,3,0,0,0,0,2500,120,1,7
Fluctuating_Asynchronous_Short_4a7,29/11/2021,Short,Fluctuating_Asynchro,A,4,0,0,220,0,190,130,2,7
Fluctuating_Asynchronous_Short_4b7,29/11/2021,Short,Fluctuating_Asynchro,B,4,0,0,140,0,130,180,8,7
Fluctuating_Asynchronous_Short_5a7,29/11/2021,Short,Fluctuating_Asynchro,A,5,3,0,1,14,210,50,1,7
Fluctuating_Asynchronous_Short_5b7,29/11/2021,Short,Fluctuating_Asynchro,B,5,5,2,2,21,370,80,6,7
Fluctuating_Asynchronous_Long_1a7,29/11/2021,Long,Fluctuating_Asynchro,A,1,1,1,0,4,600,360,2,7
Fluctuating_Asynchronous_Long_1b7,29/11/2021,Long,Fluctuating_Asynchro,B,1,1,0,0,0,1000,80,6,7
Fluctuating_Asynchronous_Long_2a7,29/11/2021,Long,Fluctuating_Asynchro,A,2,0,0,0,9,350,50,0,7
Fluctuating_Asynchronous_Long_2b7,29/11/2021,Long,Fluctuating_Asynchro,B,2,1,2,0,4,270,60,2,7
Fluctuating_Asynchronous_Long_3a7,29/11/2021,Long,Fluctuating_Asynchro,A,3,1,0,0,0,500,70,9,7
Fluctuating_Asynchronous_Long_3b7,29/11/2021,Long,Fluctuating_Asynchro,B,3,2,1,0,1,390,80,7,7
Fluctuating_Asynchronous_Long_4a7,29/11/2021,Long,Fluctuating_Asynchro,A,4,0,0,0,1,410,50,1,7
Fluctuating_Asynchronous_Long_4b7,29/11/2021,Long,Fluctuating_Asynchro,B,4,5,0,0,1,390,70,5,7
Fluctuating_Asynchronous_Long_5a7,29/11/2021,Long,Fluctuating_Asynchro,A,5,0,0,0,5,500,80,1,7
Fluctuating_Asynchronous_Long_5b7,29/11/2021,Long,Fluctuating_Asynchro,B,5,0,0,0,2,600,100,1,7
Static_Diff_Short_1a7,29/11/2021,Short,Static_Diff,A,1,410,1,0,0,140,5,4,7
Static_Diff_Short_1b7,29/11/2021,Short,Static_Diff,B,1,840,0,0,0,560,80,3,7
Static_Diff_Short_2a7,29/11/2021,Short,Static_Diff,A,2,140,0,2,0,270,120,2,7
Static_Diff_Short_2b7,29/11/2021,Short,Static_Diff,B,2,933.3333333,0,2,0,1400,120,0,7
Static_Diff_Short_3a7,29/11/2021,Short,Static_Diff,A,3,220,0,0,0,190,60,6,7
Static_Diff_Short_3b7,29/11/2021,Short,Static_Diff,B,3,1100,0,0,0,460,5,1,7
Static_Diff_Short_4a7,29/11/2021,Short,Static_Diff,A,4,110,0,0,5,110,2,1,7
Static_Diff_Short_4b7,29/11/2021,Short,Static_Diff,B,4,350,1,0,0,380,3,0,7
Static_Diff_Short_5a7,29/11/2021,Short,Static_Diff,A,5,100,0,0,13,310,0,0,7
Static_Diff_Short_5b7,29/11/2021,Short,Static_Diff,B,5,230,70,0,4,390,110,3,7
Static_Diff_Long_1a7,29/11/2021,Long,Static_Diff,A,1,333.3333333,0,0,1,733.3333333,83.33333333,3,7
Static_Diff_Long_1b7,29/11/2021,Long,Static_Diff,B,1,60,1,0,0,1000,13,4,7
Static_Diff_Long_2a7,29/11/2021,Long,Static_Diff,A,2,0,22,0,2,160,2,1,7
Static_Diff_Long_2b7,29/11/2021,Long,Static_Diff,B,2,0,6,0,5,110,5,5,7
Static_Diff_Long_3a7,29/11/2021,Long,Static_Diff,A,3,270,0,0,0,500,140,1,7
Static_Diff_Long_3b7,29/11/2021,Long,Static_Diff,B,3,310,0,0,3,600,160,0,7
Static_Diff_Long_5a7,29/11/2021,Long,Static_Diff,A,5,0,0,0,1,140,50,3,7
Static_Diff_Long_5b7,29/11/2021,Long,Static_Diff,B,5,0,0,0,0,180,16,2,7
Fluctuating_Synchronous_Short_1a7,29/11/2021,Short,Fluctuating_Synchro,A,1,0,0,5,0,380,4,2,7
Fluctuating_Synchronous_Short_1b7,29/11/2021,Short,Fluctuating_Synchro,B,1,0,0,5,1,333.3333333,13,4,7
Fluctuating_Synchronous_Short_2a7,29/11/2021,Short,Fluctuating_Synchro,A,2,0,2,0,5,360,50,4,7
Fluctuating_Synchronous_Short_2b7,29/11/2021,Short,Fluctuating_Synchro,B,2,0,1,0,1,330,100,2,7
Fluctuating_Synchronous_Short_3a7,29/11/2021,Short,Fluctuating_Synchro,A,3,0,0,0,1,580,14,3,7
Fluctuating_Synchronous_Short_3b7,29/11/2021,Short,Fluctuating_Synchro,B,3,0,0,0,5,820,16,1,7
Fluctuating_Synchronous_Short_4a7,29/11/2021,Short,Fluctuating_Synchro,A,4,9,0,0,3,560,230,2,7
Fluctuating_Synchronous_Short_4b7,29/11/2021,Short,Fluctuating_Synchro,B,4,16,1,0,5,700,110,3,7
Fluctuating_Synchronous_Short_5a7,29/11/2021,Short,Fluctuating_Synchro,A,5,70,0,0,60,320,100,1,7
Fluctuating_Synchronous_Short_5b7,29/11/2021,Short,Fluctuating_Synchro,B,5,50,0,0,50,370,130,0,7
Fluctuating_Synchronous_Long_1a7,29/11/2021,Long,Fluctuating_Synchro,A,1,0,0,0,0,450,150,4,7
Fluctuating_Synchronous_Long_1b7,29/11/2021,Long,Fluctuating_Synchro,B,1,0,0,0,0,733.3333333,200,7,7
Fluctuating_Synchronous_Long_2a7,29/11/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,740,310,17,7
Fluctuating_Synchronous_Long_2b7,29/11/2021,Long,Fluctuating_Synchro,B,2,0,0,0,1,460,120,4,7
Fluctuating_Synchronous_Long_3a7,29/11/2021,Long,Fluctuating_Synchro,A,3,0,0,0,0,700,220,10,7
Fluctuating_Synchronous_Long_3b7,29/11/2021,Long,Fluctuating_Synchro,B,3,0,0,0,0,900,500,7,7
Fluctuating_Synchronous_Long_4a7,29/11/2021,Long,Fluctuating_Synchro,A,4,0,1,0,0,760,120,6,7
