,date,corridor_length,temp_treatment,patch,replicate,blepharisma,colpidium,didinium,homalozoon,paramecium,spirostomum,bursaria,day
Fluctuating_Synchronous_Long_4b7,29/11/2021,Long,Fluctuating_Synchro,B,4,0,0,0,0,380,60,5,7
Fluctuating_Synchronous_Long_5a7,29/11/2021,Long,Fluctuating_Synchro,A,5,1,0,0,0,600,150,1,7
Fluctuating_Synchronous_Long_5b7,29/11/2021,Long,Fluctuating_Synchro,B,5,0,0,0,1,6100,140,2,7
Constant_Short_1a10,02/12/2021,Short,Constant,A,1,0,0,0,0,7200,320,2,10
Constant_Short_1b10,02/12/2021,Short,Constant,B,1,0,0,0,0,1200,520,2,10
Constant_Short_2a10,02/12/2021,Short,Constant,A,2,0,0,0,0,1600,1200,2,10
Constant_Short_2b10,02/12/2021,Short,Constant,B,2,0,0,0,0,1800,800,3,10
Constant_Short_3a10,02/12/2021,Short,Constant,A,3,0,0,0,0,2000,760,2,10
Constant_Short_3b10,02/12/2021,Short,Constant,B,3,0,0,0,0,1560,580,3,10
Constant_Short_4a10,02/12/2021,Short,Constant,A,4,0,0,0,0,1400,1200,1,10
Constant_Short_4b10,02/12/2021,Short,Constant,B,4,0,0,0,0,1600,600,2,10
Constant_Short_5a10,02/12/2021,Short,Constant,A,5,0,0,0,0,1880,320,1,10
Constant_Short_5b10,02/12/2021,Short,Constant,B,5,0,0,0,0,9200,960,3,10
Constant_Long_1a100,02/12/2021,Long,Constant,A,1,0,0,0,0,4000,840,4,10
Constant_Long_1b10,02/12/2021,Long,Constant,B,1,0,0,0,0,1600,560,3,10
Constant_Long_2a10,02/12/2021,Long,Constant,A,2,1,0,0,0,160,700,5,10
Constant_Long_2b10,02/12/2021,Long,Constant,B,2,0,0,0,0,1880,540,0,10
Constant_Long_3a10,02/12/2021,Long,Constant,A,3,0,0,0,1,1600,700,1,10
Constant_Long_3b10,02/12/2021,Long,Constant,B,3,0,0,0,0,2500,700,0,10
Constant_Long_4a10,02/12/2021,Long,Constant,A,4,0,0,0,0,3900,220,1,10
Constant_Long_4b10,02/12/2021,Long,Constant,B,4,0,0,0,0,4600,400,0,10
Constant_Long_5a10,02/12/2021,Long,Constant,A,5,0,0,0,0,1900,1500,1,10
Constant_Long_5b10,02/12/2021,Long,Constant,B,5,0,0,0,0,1160,640,4,10
Fluctuating_Asynchronous_Short_1a100,02/12/2021,Short,Fluctuating_Asynchro,A,1,0,0,70,0,50,100,5,10
Fluctuating_Asynchronous_Short_1b10,02/12/2021,Short,Fluctuating_Asynchro,B,1,2,0,20,0,110,180,3,10
Fluctuating_Asynchronous_Short_2a10,02/12/2021,Short,Fluctuating_Asynchro,A,2,80,0,0,1,60,140,3,10
Fluctuating_Asynchronous_Short_2b10,02/12/2021,Short,Fluctuating_Asynchro,B,2,110,0,0,0,180,120,0,10
Fluctuating_Asynchronous_Short_3a10,02/12/2021,Short,Fluctuating_Asynchro,A,3,4,0,0,1,1560,50,1,10
Fluctuating_Asynchronous_Short_3b10,02/12/2021,Short,Fluctuating_Asynchro,B,3,6,0,0,0,1880,60,0,10
Fluctuating_Asynchronous_Short_4a10,02/12/2021,Short,Fluctuating_Asynchro,A,4,50,0,70,0,50,300,2,10
Fluctuating_Asynchronous_Short_4b10,02/12/2021,Short,Fluctuating_Asynchro,B,4,2,0,50,1,70,400,1,10
Fluctuating_Asynchronous_Short_5a10,02/12/2021,Short,Fluctuating_Asynchro,A,5,50,2,0,24,160,80,3,10
Fluctuating_Asynchronous_Short_5b10,02/12/2021,Short,Fluctuating_Asynchro,B,5,21,0,0,30,190,110,2,10
Fluctuating_Asynchronous_Long_1a10,02/12/2021,Long,Fluctuating_Asynchro,A,1,80,0,0,3,240,160,3,10
Fluctuating_Asynchronous_Long_1b10,02/12/2021,Long,Fluctuating_Asynchro,B,1,5,0,0,1,100,120,8,10
Fluctuating_Asynchronous_Long_2a10,02/12/2021,Long,Fluctuating_Asynchro,A,2,2,0,0,14,520,80,0,10
Fluctuating_Asynchronous_Long_2b10,02/12/2021,Long,Fluctuating_Asynchro,B,2,4,0,0,8,310,100,0,10
Fluctuating_Asynchronous_Long_3a10,02/12/2021,Long,Fluctuating_Asynchro,A,3,2,0,0,0,840,80,1,10
Fluctuating_Asynchronous_Long_3b10,02/12/2021,Long,Fluctuating_Asynchro,B,3,0,0,0,1,1080,180,6,10
Fluctuating_Asynchronous_Long_4a10,02/12/2021,Long,Fluctuating_Asynchro,A,4,2,0,0,0,440,6,2,10
Fluctuating_Asynchronous_Long_4b10,02/12/2021,Long,Fluctuating_Asynchro,B,4,3,0,0,3,230,50,2,10
Fluctuating_Asynchronous_Long_5a10,02/12/2021,Long,Fluctuating_Asynchro,A,5,0,0,0,6,380,50,0,10
Fluctuating_Asynchronous_Long_5b10,02/12/2021,Long,Fluctuating_Asynchro,B,5,0,0,0,4,160,100,0,10
Static_Diff_Short_1a10,02/12/2021,Short,Static_Diff,A,1,920,0,0,0,160,50,3,10
Static_Diff_Short_1b10,02/12/2021,Short,Static_Diff,B,1,1680,0,0,0,410,90,0,10
Static_Diff_Short_2a10,02/12/2021,Short,Static_Diff,A,2,550,0,2,0,130,60,1,10
Static_Diff_Short_2b10,02/12/2021,Short,Static_Diff,B,2,1900,0,1,1,1200,140,0,10
Static_Diff_Short_3a10,02/12/2021,Short,Static_Diff,A,3,600,0,0,0,210,4,0,10
Static_Diff_Short_3b10,02/12/2021,Short,Static_Diff,B,3,2800,0,0,0,380,60,0,10
Static_Diff_Short_4a10,02/12/2021,Short,Static_Diff,A,4,800,0,0,16,160,1,0,10
Static_Diff_Short_4b10,02/12/2021,Short,Static_Diff,B,4,4600,0,0,0,450,0,1,10
Static_Diff_Short_5a10,02/12/2021,Short,Static_Diff,A,5,800,4,0,16,350,5,0,10
Static_Diff_Short_5b10,02/12/2021,Short,Static_Diff,B,5,900,1,0,6,500,80,0,10
Static_Diff_Long_1a10,02/12/2021,Long,Static_Diff,A,1,733.3333333,0,0,0,933.3333333,110,1,10
Static_Diff_Long_1b10,02/12/2021,Long,Static_Diff,B,1,110,0,0,0,800,50,1,10
Static_Diff_Long_2a10,02/12/2021,Long,Static_Diff,A,2,0,140,0,0,330,2,0,10
Static_Diff_Long_2b10,02/12/2021,Long,Static_Diff,B,2,0,80,0,6,110,2,0,10
Static_Diff_Long_3a10,02/12/2021,Long,Static_Diff,A,3,1800,0,0,0,680,70,0,10
Static_Diff_Long_3b10,02/12/2021,Long,Static_Diff,B,3,580,0,0,24,160,70,0,10
Static_Diff_Long_5a10,02/12/2021,Long,Static_Diff,A,5,1,0,0,0,160,50,0,10
Static_Diff_Long_5b10,02/12/2021,Long,Static_Diff,B,5,0,0,0,0,310,12,1,10
Fluctuating_Synchronous_Short_1a10,02/12/2021,Short,Fluctuating_Synchro,A,1,0,0,10,0,320,50,3,10
Fluctuating_Synchronous_Short_1b10,02/12/2021,Short,Fluctuating_Synchro,B,1,0,0,8,2,300,6,0,10
Fluctuating_Synchronous_Short_2a10,02/12/2021,Short,Fluctuating_Synchro,A,2,0,2,0,8,160,70,0,10
Fluctuating_Synchronous_Short_2b10,02/12/2021,Short,Fluctuating_Synchro,B,2,0,1,0,8,130,70,0,10
Fluctuating_Synchronous_Short_3a10,02/12/2021,Short,Fluctuating_Synchro,A,3,1,0,0,0,1100,7,0,10
Fluctuating_Synchronous_Short_3b10,02/12/2021,Short,Fluctuating_Synchro,B,3,0,0,0,6,1300,160,0,10
Fluctuating_Synchronous_Short_4a10,02/12/2021,Short,Fluctuating_Synchro,A,4,50,2,0,3,270,120,2,10
Fluctuating_Synchronous_Short_4b10,02/12/2021,Short,Fluctuating_Synchro,B,4,8,1,0,11,220,80,0,10
Fluctuating_Synchronous_Short_5a10,02/12/2021,Short,Fluctuating_Synchro,A,5,0,0,0,60,15,60,0,10
Fluctuating_Synchronous_Short_5b10,02/12/2021,Short,Fluctuating_Synchro,B,5,2,0,0,45,21,60,0,10
Fluctuating_Synchronous_Long_1a10,02/12/2021,Long,Fluctuating_Synchro,A,1,0,0,0,0,800,120,10,10
Fluctuating_Synchronous_Long_1b10,02/12/2021,Long,Fluctuating_Synchro,B,1,0,0,0,0,860,120,8,10
Fluctuating_Synchronous_Long_2a10,02/12/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,390,160,5,10
Fluctuating_Synchronous_Long_2b10,02/12/2021,Long,Fluctuating_Synchro,B,2,0,0,0,0,480,170,3,10
Fluctuating_Synchronous_Long_3a10,02/12/2021,Long,Fluctuating_Synchro,A,3,0,0,0,0,540,100,6,10
Fluctuating_Synchronous_Long_3b10,02/12/2021,Long,Fluctuating_Synchro,B,3,0,0,0,0,460,190,4,10
Fluctuating_Synchronous_Long_4a10,02/12/2021,Long,Fluctuating_Synchro,A,4,0,0,0,0,250,100,4,10
Fluctuating_Synchronous_Long_4b10,02/12/2021,Long,Fluctuating_Synchro,B,4,0,0,0,0,320,50,4,10
Fluctuating_Synchronous_Long_5a10,02/12/2021,Long,Fluctuating_Synchro,A,5,1,0,0,0,270,50,1,10
Fluctuating_Synchronous_Long_5b10,02/12/2021,Long,Fluctuating_Synchro,B,5,0,0,0,2,210,60,2,10
Constant_Short_1a14,06/12/2021,Short,Constant,A,1,0,0,0,0,2700,900,0,14
Constant_Short_1b14,06/12/2021,Short,Constant,B,1,0,0,0,0,1400,1100,1,14
Constant_Short_2a14,06/12/2021,Short,Constant,A,2,0,0,0,0,7000,1040,1,14
Constant_Short_2b14,06/12/2021,Short,Constant,B,2,0,0,0,0,5000,640,0,14
Constant_Short_3a14,06/12/2021,Short,Constant,A,3,0,0,0,0,2900,2000,2,14
Constant_Short_3b14,06/12/2021,Short,Constant,B,3,0,0,0,0,2800,1100,0,14
Constant_Short_4a14,06/12/2021,Short,Constant,A,4,0,0,0,0,5600,400,1,14
Constant_Short_4b14,06/12/2021,Short,Constant,B,4,0,0,0,0,3000,600,0,14
Constant_Short_5a14,06/12/2021,Short,Constant,A,5,0,0,0,0,5000,760,0,14
Constant_Short_5b14,06/12/2021,Short,Constant,B,5,0,0,0,0,9800,560,0,14
Constant_Long_1a140,06/12/2021,Long,Constant,A,1,0,0,0,0,4800,1240,0,14
Constant_Long_1b14,06/12/2021,Long,Constant,B,1,0,0,0,0,3000,720,0,14
Constant_Long_2a14,06/12/2021,Long,Constant,A,2,0,0,0,0,760,240,0,14
Constant_Long_2b14,06/12/2021,Long,Constant,B,2,0,0,0,0,1040,760,2,14
Constant_Long_3a14,06/12/2021,Long,Constant,A,3,0,0,0,1,2700,560,1,14
Constant_Long_3b14,06/12/2021,Long,Constant,B,3,0,0,0,1,14800,320,0,14
Constant_Long_4a14,06/12/2021,Long,Constant,A,4,0,0,0,1,4400,600,0,14
Constant_Long_4b14,06/12/2021,Long,Constant,B,4,0,0,0,0,4000,333.3333333,0,14
Constant_Long_5a14,06/12/2021,Long,Constant,A,5,0,0,0,0,1500,600,0,14
Constant_Long_5b14,06/12/2021,Long,Constant,B,5,0,0,0,0,1800,1000,0,14
Fluctuating_Asynchronous_Short_1a140,06/12/2021,Short,Fluctuating_Asynchro,A,1,0,0,0,0,90,90,0,14
Fluctuating_Asynchronous_Short_1b14,06/12/2021,Short,Fluctuating_Asynchro,B,1,0,0,0,0,70,50,0,14
Fluctuating_Asynchronous_Short_2a14,06/12/2021,Short,Fluctuating_Asynchro,A,2,2000,0,0,1,50,130,0,14
Fluctuating_Asynchronous_Short_2b14,06/12/2021,Short,Fluctuating_Asynchro,B,2,1040,0,0,0,100,80,0,14
Fluctuating_Asynchronous_Short_3a14,06/12/2021,Short,Fluctuating_Asynchro,A,3,600,0,0,0,250,1,0,14
Fluctuating_Asynchronous_Short_3b14,06/12/2021,Short,Fluctuating_Asynchro,B,3,800,0,0,0,500,1,0,14
Fluctuating_Asynchronous_Short_4a14,06/12/2021,Short,Fluctuating_Asynchro,A,4,50,0,0,0,50,130,0,14
Fluctuating_Asynchronous_Short_4b14,06/12/2021,Short,Fluctuating_Asynchro,B,4,60,0,0,0,60,200,0,14
Fluctuating_Asynchronous_Short_5a14,06/12/2021,Short,Fluctuating_Asynchro,A,5,80,0,0,36,12,80,1,14
Fluctuating_Asynchronous_Short_5b14,06/12/2021,Short,Fluctuating_Asynchro,B,5,130,1,0,60,28,50,0,14
Fluctuating_Asynchronous_Long_1a14,06/12/2021,Long,Fluctuating_Asynchro,A,1,6,0,0,0,110,140,3,14
Fluctuating_Asynchronous_Long_1b14,06/12/2021,Long,Fluctuating_Asynchro,B,1,5,0,0,1,100,120,5,14
Fluctuating_Asynchronous_Long_2a14,06/12/2021,Long,Fluctuating_Asynchro,A,2,7,0,0,10,150,10,0,14
Fluctuating_Asynchronous_Long_2b14,06/12/2021,Long,Fluctuating_Asynchro,B,2,50,0,0,22,110,12,0,14
Fluctuating_Asynchronous_Long_3a14,06/12/2021,Long,Fluctuating_Asynchro,A,3,50,0,0,0,500,80,1,14
Fluctuating_Asynchronous_Long_3b14,06/12/2021,Long,Fluctuating_Asynchro,B,3,3,0,0,0,800,120,2,14
Fluctuating_Asynchronous_Long_4a14,06/12/2021,Long,Fluctuating_Asynchro,A,4,50,0,0,0,170,12,1,14
Fluctuating_Asynchronous_Long_4b14,06/12/2021,Long,Fluctuating_Asynchro,B,4,11,0,0,4,230,10,2,14
Fluctuating_Asynchronous_Long_5a14,06/12/2021,Long,Fluctuating_Asynchro,A,5,1,0,0,5,200,60,0,14
Fluctuating_Asynchronous_Long_5b14,06/12/2021,Long,Fluctuating_Asynchro,B,5,1,0,0,3,210,60,0,14
Static_Diff_Short_1a14,06/12/2021,Short,Static_Diff,A,1,1880,0,0,0,190,4,0,14
Static_Diff_Short_1b14,06/12/2021,Short,Static_Diff,B,1,3300,0,0,1,350,50,0,14
Static_Diff_Short_2a14,06/12/2021,Short,Static_Diff,A,2,2300,0,1,0,500,160,0,14
Static_Diff_Short_2b14,06/12/2021,Short,Static_Diff,B,2,2100,0,1,0,1200,500,0,14
Static_Diff_Short_3a14,06/12/2021,Short,Static_Diff,A,3,1120,0,0,0,150,1,0,14
Static_Diff_Short_3b14,06/12/2021,Short,Static_Diff,B,3,2100,0,0,0,210,4,0,14
Static_Diff_Short_4a14,06/12/2021,Short,Static_Diff,A,4,1000,0,0,2,130,0,0,14
Static_Diff_Short_4b14,06/12/2021,Short,Static_Diff,B,4,1700,0,0,1,170,0,0,14
Static_Diff_Short_5a14,06/12/2021,Short,Static_Diff,A,5,1120,0,0,12,130,1,0,14
Static_Diff_Short_5b14,06/12/2021,Short,Static_Diff,B,5,1280,0,0,3,160,9,0,14
Static_Diff_Long_1a14,06/12/2021,Long,Static_Diff,A,1,480,0,0,0,2000,90,0,14
Static_Diff_Long_1b14,06/12/2021,Long,Static_Diff,B,1,410,0,0,0,700,50,1,14
Static_Diff_Long_2a14,06/12/2021,Long,Static_Diff,A,2,0,70,0,0,270,0,0,14
Static_Diff_Long_2b14,06/12/2021,Long,Static_Diff,B,2,0,1,0,6,130,0,0,14
Static_Diff_Long_3a14,06/12/2021,Long,Static_Diff,A,3,1000,0,0,3,700,10,0,14
Static_Diff_Long_3b14,06/12/2021,Long,Static_Diff,B,3,400,1,0,29,170,50,0,14
Static_Diff_Long_5a14,06/12/2021,Long,Static_Diff,A,5,6,0,0,0,320,60,0,14
Static_Diff_Long_5b14,06/12/2021,Long,Static_Diff,B,5,2,1,0,0,220,60,1,14
Fluctuating_Synchronous_Short_1a14,06/12/2021,Short,Fluctuating_Synchro,A,1,4,0,0,0,170,6,4,14
Fluctuating_Synchronous_Short_1b14,06/12/2021,Short,Fluctuating_Synchro,B,1,2,0,0,2,280,80,1,14
Fluctuating_Synchronous_Short_2a14,06/12/2021,Short,Fluctuating_Synchro,A,2,1,0,0,8,150,6,0,14
Fluctuating_Synchronous_Short_2b14,06/12/2021,Short,Fluctuating_Synchro,B,2,1,0,0,5,100,70,0,14
Fluctuating_Synchronous_Short_3a14,06/12/2021,Short,Fluctuating_Synchro,A,3,21,0,0,2,440,10,0,14
Fluctuating_Synchronous_Short_3b14,06/12/2021,Short,Fluctuating_Synchro,B,3,13,0,0,3,580,100,0,14
Fluctuating_Synchronous_Short_4a14,06/12/2021,Short,Fluctuating_Synchro,A,4,50,0,0,10,430,90,0,14
Fluctuating_Synchronous_Short_4b14,06/12/2021,Short,Fluctuating_Synchro,B,4,8,0,0,14,420,50,2,14
Fluctuating_Synchronous_Short_5a14,06/12/2021,Short,Fluctuating_Synchro,A,5,0,0,0,70,3,2,0,14
Fluctuating_Synchronous_Short_5b14,06/12/2021,Short,Fluctuating_Synchro,B,5,0,0,0,50,5,3,0,14
Fluctuating_Synchronous_Long_1a14,06/12/2021,Long,Fluctuating_Synchro,A,1,0,0,0,0,200,200,10,14
Fluctuating_Synchronous_Long_1b14,06/12/2021,Long,Fluctuating_Synchro,B,1,0,0,0,0,90,180,5,14
Fluctuating_Synchronous_Long_2a14,06/12/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,210,230,2,14
Fluctuating_Synchronous_Long_2b14,06/12/2021,Long,Fluctuating_Synchro,B,2,0,0,0,0,290,130,2,14
Fluctuating_Synchronous_Long_3a14,06/12/2021,Long,Fluctuating_Synchro,A,3,0,0,0,0,720,50,3,14
Fluctuating_Synchronous_Long_3b14,06/12/2021,Long,Fluctuating_Synchro,B,3,0,0,0,0,320,160,3,14
Fluctuating_Synchronous_Long_4a14,06/12/2021,Long,Fluctuating_Synchro,A,4,0,0,0,0,170,6,2,14
Fluctuating_Synchronous_Long_4b14,06/12/2021,Long,Fluctuating_Synchro,B,4,0,0,0,0,250,70,2,14
Fluctuating_Synchronous_Long_5a14,06/12/2021,Long,Fluctuating_Synchro,A,5,1,0,0,0,170,70,2,14
Fluctuating_Synchronous_Long_5b14,06/12/2021,Long,Fluctuating_Synchro,B,5,0,0,0,1,250,13,4,14
Constant_Short_1a17,09/12/2021,Short,Constant,A,1,0,0,0,0,5000,1120,0,17
Constant_Short_1b17,09/12/2021,Short,Constant,B,1,0,0,0,0,6800,560,0,17
Constant_Short_2a17,09/12/2021,Short,Constant,A,2,0,0,0,0,3200,1800,0,17
Constant_Short_2b17,09/12/2021,Short,Constant,B,2,0,0,0,0,2200,900,1,17
Constant_Short_3a17,09/12/2021,Short,Constant,A,3,0,0,0,0,2000,1100,0,17
Constant_Short_3b17,09/12/2021,Short,Constant,B,3,0,0,0,0,1900,700,0,17
Constant_Short_4a17,09/12/2021,Short,Constant,A,4,0,0,0,0,3400,440,1,17
Constant_Short_4b17,09/12/2021,Short,Constant,B,4,0,0,0,0,1160,880,0,17
Constant_Short_5a17,09/12/2021,Short,Constant,A,5,0,0,0,0,900,7,0,17
Constant_Short_5b17,09/12/2021,Short,Constant,B,5,0,0,0,0,500,120,0,17
Constant_Long_1a170,09/12/2021,Long,Constant,A,1,0,0,0,0,1200,800,0,17
Constant_Long_1b17,09/12/2021,Long,Constant,B,1,0,0,0,2,1700,700,0,17
Constant_Long_2a17,09/12/2021,Long,Constant,A,2,1,0,0,0,1120,360,0,17
Constant_Long_2b17,09/12/2021,Long,Constant,B,2,1,0,0,0,1160,340,1,17
Constant_Long_3a17,09/12/2021,Long,Constant,A,3,0,0,0,6,2800,800,0,17
Constant_Long_3b17,09/12/2021,Long,Constant,B,3,0,0,0,4,1700,600,0,17
Constant_Long_4a17,09/12/2021,Long,Constant,A,4,0,0,0,10,640,160,0,17
Constant_Long_4b17,09/12/2021,Long,Constant,B,4,0,0,0,1,1920,70,0,17
Constant_Long_5a17,09/12/2021,Long,Constant,A,5,0,0,0,0,1520,700,0,17
Constant_Long_5b17,09/12/2021,Long,Constant,B,5,0,1,0,0,4600,800,0,17
Fluctuating_Asynchronous_Short_1a170,09/12/2021,Short,Fluctuating_Asynchro,A,1,2,0,0,0,60,50,0,17
Fluctuating_Asynchronous_Short_1b17,09/12/2021,Short,Fluctuating_Asynchro,B,1,2,0,0,0,60,19,0,17
Fluctuating_Asynchronous_Short_2a17,09/12/2021,Short,Fluctuating_Asynchro,A,2,1200,1,0,0,150,9,0,17
Fluctuating_Asynchronous_Short_2b17,09/12/2021,Short,Fluctuating_Asynchro,B,2,800,0,0,0,190,50,0,17
Fluctuating_Asynchronous_Short_3a17,09/12/2021,Short,Fluctuating_Asynchro,A,3,720,1,0,0,120,0,0,17
Fluctuating_Asynchronous_Short_3b17,09/12/2021,Short,Fluctuating_Asynchro,B,3,760,1,0,0,80,0,0,17
Fluctuating_Asynchronous_Short_4a17,09/12/2021,Short,Fluctuating_Asynchro,A,4,110,0,0,0,80,110,0,17
Fluctuating_Asynchronous_Short_4b17,09/12/2021,Short,Fluctuating_Asynchro,B,4,110,0,0,0,100,160,0,17
Fluctuating_Asynchronous_Short_5a17,09/12/2021,Short,Fluctuating_Asynchro,A,5,130,0,0,12,8,22,0,17
Fluctuating_Asynchronous_Short_5b17,09/12/2021,Short,Fluctuating_Asynchro,B,5,110,1,0,5,90,100,0,17
Fluctuating_Asynchronous_Long_1a17,09/12/2021,Long,Fluctuating_Asynchro,A,1,9,0,0,0,90,100,0,17
Fluctuating_Asynchronous_Long_1b17,09/12/2021,Long,Fluctuating_Asynchro,B,1,9,0,0,2,50,110,0,17
Fluctuating_Asynchronous_Long_2a17,09/12/2021,Long,Fluctuating_Asynchro,A,2,100,1,0,6,80,3,0,17
Fluctuating_Asynchronous_Long_2b17,09/12/2021,Long,Fluctuating_Asynchro,B,2,20,1,0,10,21,4,0,17
Fluctuating_Asynchronous_Long_3a17,09/12/2021,Long,Fluctuating_Asynchro,A,3,3,0,0,0,430,50,2,17
Fluctuating_Asynchronous_Long_3b17,09/12/2021,Long,Fluctuating_Asynchro,B,3,1,0,0,0,350,130,1,17
Fluctuating_Asynchronous_Long_4a17,09/12/2021,Long,Fluctuating_Asynchro,A,4,110,0,0,1,80,6,0,17
Fluctuating_Asynchronous_Long_4b17,09/12/2021,Long,Fluctuating_Asynchro,B,4,50,0,0,2,50,7,0,17
Fluctuating_Asynchronous_Long_5a17,09/12/2021,Long,Fluctuating_Asynchro,A,5,120,2,0,1,70,12,0,17
Fluctuating_Asynchronous_Long_5b17,09/12/2021,Long,Fluctuating_Asynchro,B,5,150,1,0,10,50,18,0,17
Static_Diff_Short_1a17,09/12/2021,Short,Static_Diff,A,1,1200,0,0,0,60,4,0,17
Static_Diff_Short_1b17,09/12/2021,Short,Static_Diff,B,1,3000,0,0,0,140,10,0,17
Static_Diff_Short_2a17,09/12/2021,Short,Static_Diff,A,2,8400,1,0,0,190,110,0,17
Static_Diff_Short_2b17,09/12/2021,Short,Static_Diff,B,2,1800,0,0,0,370,120,0,17
Static_Diff_Short_3a17,09/12/2021,Short,Static_Diff,A,3,1000,0,0,0,4200,60,0,17
Static_Diff_Short_3b17,09/12/2021,Short,Static_Diff,B,3,3000,1,0,0,90,3,0,17
Static_Diff_Short_4a17,09/12/2021,Short,Static_Diff,A,4,4000,0,0,4,50,0,0,17
Static_Diff_Short_4b17,09/12/2021,Short,Static_Diff,B,4,2500,0,0,0,110,0,0,17
Static_Diff_Short_5a17,09/12/2021,Short,Static_Diff,A,5,640,0,0,9,130,0,0,17
Static_Diff_Short_5b17,09/12/2021,Short,Static_Diff,B,5,820,0,0,4,210,0,0,17
Static_Diff_Long_1a17,09/12/2021,Long,Static_Diff,A,1,760,0,0,1,400,50,0,17
Static_Diff_Long_1b17,09/12/2021,Long,Static_Diff,B,1,1400,0,0,1,120,70,0,17
Static_Diff_Long_2a17,09/12/2021,Long,Static_Diff,A,2,0,6,0,0,30,0,0,17
Static_Diff_Long_2b17,09/12/2021,Long,Static_Diff,B,2,0,3,0,1,20,0,0,17
Static_Diff_Long_3a17,09/12/2021,Long,Static_Diff,A,3,2400,0,0,8,300,120,0,17
Static_Diff_Long_3b17,09/12/2021,Long,Static_Diff,B,3,2600,1,0,32,80,60,0,17
Static_Diff_Long_5a17,09/12/2021,Long,Static_Diff,A,5,90,0,0,0,90,8,0,17
Static_Diff_Long_5b17,09/12/2021,Long,Static_Diff,B,5,70,0,0,0,70,10,0,17
Fluctuating_Synchronous_Short_1a17,09/12/2021,Short,Fluctuating_Synchro,A,1,8,0,0,0,120,0,0,17
Fluctuating_Synchronous_Short_1b17,09/12/2021,Short,Fluctuating_Synchro,B,1,14,0,0,1,43,2,2,17
Fluctuating_Synchronous_Short_2a17,09/12/2021,Short,Fluctuating_Synchro,A,2,0,0,0,0,50,4,0,17
Fluctuating_Synchronous_Short_2b17,09/12/2021,Short,Fluctuating_Synchro,B,2,0,0,0,2,110,1,0,17
Fluctuating_Synchronous_Short_3a17,09/12/2021,Short,Fluctuating_Synchro,A,3,80,0,0,1,500,8,1,17
Fluctuating_Synchronous_Short_3b17,09/12/2021,Short,Fluctuating_Synchro,B,3,100,0,0,2,800,50,0,17
Fluctuating_Synchronous_Short_4a17,09/12/2021,Short,Fluctuating_Synchro,A,4,50,1,0,6,250,70,0,17
Fluctuating_Synchronous_Short_4b17,09/12/2021,Short,Fluctuating_Synchro,B,4,7,2,0,13,100,110,3,17
Fluctuating_Synchronous_Short_5a17,09/12/2021,Short,Fluctuating_Synchro,A,5,0,0,0,70,2,1,0,17
Fluctuating_Synchronous_Short_5b17,09/12/2021,Short,Fluctuating_Synchro,B,5,0,0,0,38,3,0,0,17
Fluctuating_Synchronous_Long_1a17,09/12/2021,Long,Fluctuating_Synchro,A,1,0,0,0,0,100,100,9,17
Fluctuating_Synchronous_Long_1b17,09/12/2021,Long,Fluctuating_Synchro,B,1,0,1,0,0,50,150,0,17
Fluctuating_Synchronous_Long_2a17,09/12/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,190,150,1,17
Fluctuating_Synchronous_Long_2b17,09/12/2021,Long,Fluctuating_Synchro,B,2,0,0,0,0,220,90,1,17
Fluctuating_Synchronous_Long_3a17,09/12/2021,Long,Fluctuating_Synchro,A,3,0,0,0,0,210,50,0,17
Fluctuating_Synchronous_Long_3b17,09/12/2021,Long,Fluctuating_Synchro,B,3,0,0,0,0,170,70,0,17
